Date,Open,High,Low,Close,Adj Close,Volume
2013-10-24,63.639999,63.939999,63.360001,63.889999,63.889999,13000
2013-10-25,63.900002,63.900002,63.599998,63.639999,63.639999,9600
2013-10-28,63.730000,63.970001,63.500000,63.970001,63.970001,10000
2013-10-29,63.480000,63.930000,63.110001,63.900002,63.900002,20400
2013-10-30,63.950001,64.330002,62.970001,64.029999,64.029999,19000
2013-10-31,64.279999,64.279999,63.230000,63.320000,63.320000,16900
2013-11-01,63.189999,63.750000,62.980000,63.549999,63.549999,25200
2013-11-04,63.709999,63.970001,63.279999,63.560001,63.560001,12000
2013-11-05,63.669998,63.980000,63.500000,63.709999,63.709999,7000
2013-11-06,63.619999,64.269997,63.240002,63.240002,63.240002,16500
2013-11-07,63.500000,63.970001,62.830002,63.060001,63.060001,17000
2013-11-08,63.389999,64.330002,63.090000,64.320000,64.320000,28800
2013-11-11,64.059998,64.870003,64.059998,64.720001,64.720001,16300
2013-11-12,64.680000,65.059998,64.220001,65.059998,65.059998,12700
2013-11-13,65.050003,65.070000,64.589996,65.010002,65.010002,20100
2013-11-14,65.070000,65.070000,64.779999,65.070000,65.070000,6400
2013-11-15,64.959999,65.070000,64.709999,64.980003,64.980003,8600
2013-11-18,65.070000,65.070000,64.669998,64.919998,64.919998,16600
2013-11-19,64.949997,65.129997,64.800003,65.059998,65.059998,10900
2013-11-20,65.230003,66.000000,65.080002,65.900002,65.900002,14300
2013-11-21,65.980003,66.010002,65.500000,66.000000,66.000000,9900
2013-11-22,65.650002,66.419998,65.650002,66.349998,66.349998,7700
2013-11-25,66.449997,66.550003,66.029999,66.550003,66.550003,25200
2013-11-26,66.540001,68.000000,66.150002,67.940002,67.940002,21200
2013-11-27,67.949997,68.900002,67.269997,68.690002,68.690002,11900
2013-11-29,68.500000,68.970001,67.900002,67.900002,67.900002,7400
2013-12-02,68.309998,68.550003,67.239998,67.550003,67.550003,16200
2013-12-03,67.430000,68.989998,66.519997,68.760002,68.760002,15100
2013-12-04,68.519997,69.129997,68.309998,68.830002,68.830002,6300
2013-12-05,69.000000,69.709999,68.849998,69.099998,69.099998,9000
2013-12-06,69.529999,70.230003,68.910004,69.349998,69.349998,12800
2013-12-09,69.610001,70.430000,69.449997,70.379997,70.379997,15600
2013-12-10,70.589996,70.589996,69.699997,70.080002,70.080002,15300
2013-12-11,69.980003,70.489998,68.440002,69.059998,69.059998,12300
2013-12-12,69.059998,69.529999,68.660004,69.070000,69.070000,13600
2013-12-13,69.040001,70.180000,68.209999,69.660004,69.660004,12100
2013-12-16,69.750000,71.820000,69.750000,71.559998,71.559998,42600
2013-12-17,71.230003,71.230003,69.070000,69.430000,69.430000,33100
2013-12-18,69.790001,71.370003,69.010002,71.169998,71.169998,10000
2013-12-19,71.000000,71.000000,69.949997,70.949997,70.949997,16000
2013-12-20,70.669998,72.239998,70.669998,72.239998,72.239998,49100
2013-12-23,72.029999,72.919998,72.029999,72.620003,72.620003,16700
2013-12-24,72.800003,72.800003,72.000000,72.180000,72.180000,11600
2013-12-26,72.430000,72.989998,72.010002,72.160004,72.160004,12600
2013-12-27,72.449997,73.000000,72.169998,72.980003,72.980003,12600
2013-12-30,73.000000,73.970001,72.650002,73.500000,73.500000,22700
2013-12-31,73.610001,73.989998,73.190002,73.190002,73.190002,11300
2014-01-02,72.910004,72.949997,70.169998,71.239998,71.239998,20300
2014-01-03,71.389999,72.680000,71.389999,72.260002,72.260002,14500
2014-01-06,72.720001,72.720001,71.019997,71.669998,71.669998,19100
2014-01-07,71.650002,74.000000,71.650002,73.599998,73.599998,25200
2014-01-08,73.459999,73.900002,71.790001,72.720001,72.720001,26300
2014-01-09,73.000000,73.540001,71.750000,72.910004,72.910004,12200
2014-01-10,73.099998,73.489998,72.070000,72.470001,72.470001,41400
2014-01-13,72.410004,72.860001,71.040001,71.680000,71.680000,34300
2014-01-14,71.980003,72.180000,71.169998,71.639999,71.639999,20500
2014-01-15,71.589996,73.000000,71.129997,72.980003,72.980003,27100
2014-01-16,72.629997,73.000000,72.019997,72.849998,72.849998,30500
2014-01-17,73.309998,73.309998,72.099998,72.300003,72.300003,13900
2014-01-21,72.940002,73.489998,72.000000,72.099998,72.099998,24300
2014-01-22,72.120003,72.169998,71.669998,72.129997,72.129997,27300
2014-01-23,72.070000,72.550003,71.500000,71.900002,71.900002,10500
2014-01-24,71.500000,71.680000,70.120003,70.309998,70.309998,24500
2014-01-27,70.300003,70.510002,68.089996,69.459999,69.459999,36100
2014-01-28,69.730003,69.730003,68.129997,68.889999,68.889999,28000
2014-01-29,68.260002,68.800003,68.000000,68.349998,68.349998,22500
